.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
ACBarrie_R1	1	1	0.5	1	0.25	0.5	1	0.5	0.25	0.5	1
ACBarrie_R2	1	1	0.5	1	0.25	0.5	1	0.5	0.25	0.5	1
Alsen_R1	1	1	1	1	0.5	0.25	1	0.5	1	0.5	1
Alsen_R2	1	1	1	1	0.5	0.25	1	0.5	1	0.5	1
Baxter_R1	1	1	1	1	0.5	0.5	1	0.5	1	0.5	1
Baxter_R2	1	1	1	1	0.5	0.5	1	0.5	1	0.5	1
Chara_R1	1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
Chara_R2	1	1	1	1	0.25	0.5	1	0.5	0.5	0.5	1
Drysdale_R1	1	1	0	1	1	0.5	1	0.5	1	1	1
Drysdale_R2	1	1	0	1	1	0.5	1	0.5	1	1	1
