Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
ACBarrie_R1	(1, 32.67640449438202)	(2, 32.98029386343993)	(3, 33.04114088159032)	(4, 36.39014693171997)	(5, 36.395851339671566)	(6, 36.362316335350044)	(7, 36.39014693171997)	(8, 36.378392394122734)	(9, 38.09974070872947)	(10, 38.12808988764045)	(12, 37.97260155574762)	(14, 39.46637856525497)	(16, 39.481676750216074)	(18, 39.43578219533276)	(20, 39.36776145203112)	(22, 39.31037165082109)	(24, 39.2694900605013)	(26, 39.222039757994814)	(28, 39.09273984442524)	(30, 38.96707000864304)	(32, 38.92549697493517)	(34, 38.945808124459816)	(36, 38.840363007778734)	(38, 38.86421780466725)	(40, 38.66681071737251)	(42, 38.58962834917891)	(44, 38.593258426966294)	(46, 38.47994814174589)	(48, 38.46525496974935)	(50, 38.41381196428419)	(52, 38.28873376586428)	(54, 38.235808448238615)	(56, 38.005548266038105)	(58, 37.92578224272877)	(60, 37.82365456762177)	(62, 37.813378433955386)	(64, 37.64435092727783)	(66, 37.48481506692276)	(68, 37.23894548740897)	(70, 36.88472609829579)	(72, 36.64889872758462)	(74, 36.32548615417775)	(76, 35.151470034337464)	(78, 35.74194408009794)	(80, 35.59216654999368)	(82, 35.34130378089337)	(84, 35.066680986065265)	(86, 34.81872475706362)	(88, 34.606705653059976)	(90, 34.42129393138554)	(92, 34.317319041875855)	(94, 34.17957466057835)	(96, 34.146474160166946)	(98, 34.13825993101351)	(100, 33.9474386339381)
ACBarrie_R2	(1, 32.56475877572194)	(2, 32.750475531730935)	(3, 32.78004495936365)	(4, 36.18554383537956)	(5, 36.17949161334947)	(6, 36.242953484350686)	(7, 36.25868926162891)	(8, 36.24796818260418)	(9, 37.946913366764655)	(10, 37.88250043230157)	(12, 37.831143005360545)	(14, 39.2407919764828)	(16, 39.150354487290336)	(18, 39.163323534497664)	(20, 39.17292062943109)	(22, 39.142227217707074)	(24, 39.07530693411724)	(26, 38.96195746152516)	(28, 38.93506830364862)	(30, 38.91604703441121)	(32, 38.82292927546256)	(34, 38.77580840394259)	(36, 38.812986339270275)	(38, 38.7407919764828)	(40, 38.53691855438354)	(42, 38.461265779007434)	(44, 38.45244682690645)	(46, 38.366505274079195)	(48, 38.32180529137126)	(50, 37.4016573496297)	(52, 37.61123598225224)	(54, 38.2588749309237)	(56, 38.19709100486269)	(58, 38.004332276480355)	(60, 37.96458688276779)	(62, 38.132637437652434)	(64, 38.00675679509181)	(66, 37.84493247723398)	(68, 37.650499080188126)	(70, 37.39414898263172)	(72, 37.15650996102403)	(74, 36.797393026320115)	(76, 36.47808382388274)	(78, 36.2012125434871)	(80, 35.88607674937656)	(82, 35.569738743549564)	(84, 35.268890264912386)	(86, 35.03158811225243)	(88, 34.73589872320346)	(90, 34.561236710972835)	(92, 34.4605319861948)	(94, 34.33260607172103)	(96, 34.29968012779291)	(98, 34.154511475895916)	(100, 34.0493705257961)
Alsen_R1	(1, 32.8131323559777)	(2, 33.10241585793929)	(3, 33.16642576915135)	(4, 36.506504232913485)	(5, 36.47986785050588)	(6, 36.49700598802395)	(7, 36.50134214329961)	(8, 36.487920710303534)	(9, 38.328515383027046)	(10, 38.262337394177166)	(12, 38.19812099938055)	(14, 39.74292793722899)	(16, 39.70101176956432)	(18, 39.66673549452818)	(20, 39.63658889118315)	(22, 39.534276275036135)	(24, 39.475634937022505)	(26, 39.41059260788768)	(28, 39.35060912657444)	(30, 39.29578773487508)	(32, 39.28938674375387)	(34, 39.17736939913277)	(36, 39.172104067726615)	(38, 39.07402436506298)	(40, 38.99731571340078)	(42, 38.89913276894487)	(44, 38.911728267602726)	(46, 38.842143299607685)	(48, 38.753252116456736)	(50, 38.70938595877495)	(52, 38.57438426506411)	(54, 38.40122964145311)	(56, 38.310082062148254)	(58, 38.11559424408759)	(60, 38.043952168718185)	(62, 37.98745400262585)	(64, 37.798853607269876)	(66, 37.66720497025038)	(68, 37.44632735923733)	(70, 37.18101957360307)	(72, 36.8351360471725)	(74, 36.57010771503195)	(76, 35.315478212487214)	(78, 35.95665717498251)	(80, 35.81620712057598)	(82, 35.493437710919125)	(84, 35.26467559080755)	(86, 35.03710398260225)	(88, 34.82321477355558)	(90, 34.684337203220835)	(92, 34.51633738744267)	(94, 34.44174555654379)	(96, 34.403294962825775)	(98, 34.328086555855535)	(100, 34.33376997642127)
Alsen_R2	(1, 32.560659114315136)	(2, 32.774459320288365)	(3, 32.84613800205973)	(4, 36.26735324407827)	(5, 36.260556127703396)	(6, 36.31019567456231)	(7, 36.26755921730175)	(8, 36.31513903192585)	(9, 38.07621009268795)	(10, 38.00659114315139)	(12, 37.96045314109166)	(14, 39.43130792996911)	(16, 39.35087538619979)	(18, 39.388465499485065)	(20, 39.37270854788878)	(22, 39.34933058702369)	(24, 39.285890834191555)	(26, 39.203295571575694)	(28, 39.08403707518023)	(30, 39.01874356333677)	(32, 38.953656024716786)	(34, 38.85036045314109)	(36, 38.866220391349124)	(38, 38.766941297631305)	(40, 38.68341915550978)	(42, 38.60679711637487)	(44, 38.56745623069001)	(46, 38.48300720906282)	(48, 38.4081359423275)	(50, 37.53772387701717)	(52, 37.72537594664806)	(54, 38.16745187596436)	(56, 38.333108507864324)	(58, 38.37658032834292)	(60, 38.327530522006)	(62, 38.297103105170656)	(64, 38.13109322512627)	(66, 37.88444487383957)	(68, 37.66335477948451)	(70, 37.36529947252329)	(72, 37.0570299365703)	(74, 36.73844714723711)	(76, 36.436981802683555)	(78, 36.13640037542558)	(80, 35.8203268425729)	(82, 35.523722376060626)	(84, 35.28543187005772)	(86, 35.05858397713162)	(88, 34.95126644119519)	(90, 34.792314138998194)	(92, 34.659937527413256)	(94, 34.59222093097976)	(96, 34.533436287294364)	(98, 34.472467186547284)	(100, 34.43933265925177)
Baxter_R1	(1, 32.79254079254079)	(2, 33.02758352758353)	(3, 33.08100233100233)	(4, 36.471250971250974)	(5, 36.40258352758353)	(6, 36.41423853923854)	(7, 36.39733877233877)	(8, 36.39607614607615)	(9, 38.17472804972805)	(10, 38.12961344211344)	(12, 38.037247474747474)	(14, 39.51107226107226)	(16, 39.46129564879565)	(18, 39.482031857031856)	(20, 39.47416472416472)	(22, 39.42443667443668)	(24, 39.39092851592852)	(26, 39.2881216006216)	(28, 39.206390831390834)	(30, 39.21867715617715)	(32, 39.15574009324009)	(34, 39.04778554778555)	(36, 38.972610722610725)	(38, 38.799630924630925)	(40, 38.730235042735046)	(42, 38.669531857031856)	(44, 38.7598581973582)	(46, 38.82643745143745)	(48, 38.779331779331784)	(50, 38.68372664185759)	(52, 38.546581536983155)	(54, 38.41763574138072)	(56, 38.24437483150703)	(58, 38.113661379788525)	(60, 37.996355606486034)	(62, 37.956411114233084)	(64, 37.81436143995727)	(66, 37.651799547848974)	(68, 37.41434120457779)	(70, 37.180807377774656)	(72, 36.85120040820017)	(74, 36.581998837712334)	(76, 35.22594753040954)	(78, 35.96945675981382)	(80, 35.81613683232676)	(82, 35.57370659115137)	(84, 35.330550807727846)	(86, 35.11041609552933)	(88, 34.93604847529542)	(90, 34.79039264241702)	(92, 34.65800435190526)	(94, 34.57064269313937)	(96, 34.504952121823266)	(98, 34.434635311438726)	(100, 34.40855192238592)
Baxter_R2	(1, 32.56392583244345)	(2, 32.73953985049995)	(3, 32.8363265702359)	(4, 36.26220755266479)	(5, 36.24385981943501)	(6, 36.255800407727406)	(7, 36.2649257353655)	(8, 36.27579846616833)	(9, 38.011066886710026)	(10, 37.99432093971459)	(12, 37.92088146781866)	(14, 39.328366178040966)	(16, 39.34690806717795)	(18, 39.313367634210266)	(20, 39.30797980778566)	(22, 39.25720803805456)	(24, 39.20959130181535)	(26, 39.09033103582176)	(28, 39.00033977283759)	(30, 38.93301621201825)	(32, 38.917435200465974)	(34, 38.824677215804286)	(36, 38.736093583147266)	(38, 38.63309387438113)	(40, 38.561838656441125)	(42, 38.464129696146)	(44, 38.37044947092515)	(46, 38.260557227453646)	(48, 38.15945053878264)	(50, 37.25464577986179)	(52, 37.368474356347036)	(54, 37.901588413673295)	(56, 38.15034347829027)	(58, 38.11278226874779)	(60, 38.063325171308314)	(62, 38.07798437853991)	(64, 37.9277613084617)	(66, 37.760204698534686)	(68, 37.50172968776121)	(70, 37.265019385247484)	(72, 36.95402557929913)	(74, 36.70184192048346)	(76, 36.41538921546136)	(78, 36.12971498431533)	(80, 35.81438292857763)	(82, 35.52388182596189)	(84, 35.22612692342534)	(86, 35.03881592256023)	(88, 34.86055345573527)	(90, 34.736025242423864)	(92, 34.61663460759374)	(94, 34.565501334303626)	(96, 34.483621427232706)	(98, 34.446513233387144)	(100, 34.415151884835915)
Chara_R1	(1, 32.606424220048)	(2, 33.06036551596825)	(3, 33.146944803396714)	(4, 36.409636330072)	(5, 36.33321026398375)	(6, 36.377884437880745)	(7, 36.43345024921543)	(8, 36.44369577256784)	(9, 38.159682481078086)	(10, 38.083302565995936)	(12, 38.09857854901237)	(14, 39.58233339486801)	(16, 39.54887391545135)	(18, 39.5257522613993)	(20, 39.46944803396714)	(22, 39.4187742292782)	(24, 39.33413328410559)	(26, 39.268414251430684)	(28, 39.205510430127376)	(30, 39.065534428650544)	(32, 39.06096547904744)	(34, 38.95223370869485)	(36, 38.95629499723094)	(38, 38.39754476647591)	(40, 38.470786413143806)	(42, 38.820380284290195)	(44, 38.914759091748195)	(46, 38.859193280413514)	(48, 38.82781059627099)	(50, 38.76905762969456)	(52, 38.64644490186412)	(54, 38.528131573517896)	(56, 38.39357395683956)	(58, 38.26390435105657)	(60, 38.2159714494656)	(62, 38.22408122632113)	(64, 38.09063355632955)	(66, 37.89249251722939)	(68, 37.680914050673266)	(70, 37.40982779101709)	(72, 37.088235492557516)	(74, 36.74909982435597)	(76, 35.53442903669102)	(78, 36.089007408565294)	(80, 35.90882771285024)	(82, 35.636167216386596)	(84, 35.38652272339783)	(86, 35.11027304011073)	(88, 34.89335577837679)	(90, 34.730528231206)	(92, 34.621697618022594)	(94, 34.538203408328144)	(96, 34.463598231657585)	(98, 34.403935819546675)	(100, 34.39759939984996)
Chara_R2	(1, 32.721022517534145)	(2, 32.91334440753045)	(3, 32.97877445551864)	(4, 36.279438907345885)	(5, 36.309431524547804)	(6, 36.32871908453304)	(7, 36.30370985603544)	(8, 36.30204872646733)	(9, 38.020487264673314)	(10, 37.991140642303435)	(12, 37.92718715393134)	(14, 39.38035252860834)	(16, 39.303802141011445)	(18, 39.36217238833518)	(20, 39.36743263196752)	(22, 39.27311738648948)	(24, 39.26845699520118)	(26, 39.179586563307495)	(28, 39.17045035068291)	(30, 39.070275009228496)	(32, 39.019518272425245)	(34, 38.95408822443706)	(36, 38.92077334809893)	(38, 38.93341638981174)	(40, 38.867063492063494)	(42, 38.779761904761905)	(44, 38.74949243263197)	(46, 38.69679771133259)	(48, 38.637458471760795)	(50, 37.77661844829953)	(52, 37.832863223207475)	(54, 38.3600166702289)	(56, 38.449657491609145)	(58, 38.31849200228275)	(60, 38.347579556344925)	(62, 38.385365807760216)	(64, 38.271636111911675)	(66, 38.044580704041465)	(68, 37.827669893061284)	(70, 37.60671773381377)	(72, 37.27326251415553)	(74, 36.964124366913396)	(76, 36.60565741111451)	(78, 36.270486349246674)	(80, 35.96299703306618)	(82, 35.677009572512546)	(84, 35.423081344047404)	(86, 35.184032345419965)	(88, 34.960178848809555)	(90, 34.79104681928043)	(92, 34.66497572406402)	(94, 34.56220264009626)	(96, 34.49795295509991)	(98, 34.45662374160871)	(100, 34.412949807849074)
Drysdale_R1	(1, 32.973255813953486)	(2, 33.22700258397933)	(3, 33.28359173126615)	(4, 36.60839793281654)	(5, 36.54651162790697)	(6, 36.549612403100774)	(7, 36.53062015503876)	(8, 36.51989664082687)	(9, 38.38656330749354)	(10, 38.37739018087855)	(12, 38.30613695090439)	(14, 39.87060723514212)	(16, 39.86854005167959)	(18, 39.826550387596896)	(20, 39.81240310077519)	(22, 39.781847545219634)	(24, 39.74412144702843)	(26, 39.648708010335916)	(28, 39.584173126614985)	(30, 39.53268733850129)	(32, 39.46111111111111)	(34, 39.41989664082688)	(36, 39.309689922480615)	(38, 39.1797157622739)	(40, 39.13145994832041)	(42, 39.186627906976746)	(44, 39.11395348837209)	(46, 39.054521963824286)	(48, 38.98559431524548)	(50, 39.036498708010335)	(52, 38.96949897452391)	(54, 38.87081873499131)	(56, 38.706486934030295)	(58, 38.54779114524157)	(60, 38.42959625079125)	(62, 38.39047662993482)	(64, 38.25349415418289)	(66, 38.05984134529939)	(68, 37.78713333551902)	(70, 37.497995109397266)	(72, 37.22406981295877)	(74, 36.9145158926931)	(76, 35.56311926979481)	(78, 36.199594586531305)	(80, 36.02791596870868)	(82, 35.74214116023921)	(84, 35.51422351004733)	(86, 35.26002680610268)	(88, 35.08332392391219)	(90, 34.95272576279608)	(92, 34.83919015716933)	(94, 34.725102026270875)	(96, 34.652524877893626)	(98, 34.60800460930629)	(100, 34.58818982841243)
Drysdale_R2	(1, 32.8648229516671)	(2, 33.08361333677953)	(3, 33.149521840268804)	(4, 36.45076247092272)	(5, 36.44947014732489)	(6, 36.46963039545102)	(7, 36.475316619281465)	(8, 36.46045489790644)	(9, 38.241664512794)	(10, 38.20535021969501)	(12, 38.20211941070043)	(14, 39.75691393124839)	(16, 39.70890410958904)	(18, 39.68906694236237)	(20, 39.66748513827862)	(22, 39.62445076247093)	(24, 39.560480744378395)	(26, 39.51479710519514)	(28, 39.4826182476092)	(30, 39.37878004652365)	(32, 39.371026104936675)	(34, 39.309123804600674)	(36, 39.222925820625484)	(38, 39.128973895063325)	(40, 39.068234685965365)	(42, 39.065843887309384)	(44, 39.06791160506591)	(46, 38.95037477384337)	(48, 38.84246575342466)	(50, 37.91511710945197)	(52, 38.077636667417586)	(54, 38.62634177794787)	(56, 38.63747728537718)	(58, 38.47627139874951)	(60, 38.36439139842369)	(62, 38.36240924479983)	(64, 38.18124537435725)	(66, 37.98231927535152)	(68, 37.88008456125996)	(70, 37.69940750462266)	(72, 37.38205410880265)	(74, 37.04788331014538)	(76, 36.70214963532817)	(78, 36.38372355319109)	(80, 36.055847211968164)	(82, 35.782981268517446)	(84, 35.51961438660215)	(86, 35.29953903130314)	(88, 35.11465458246987)	(90, 34.944511638201746)	(92, 34.84038030558402)	(94, 34.755765586438514)	(96, 34.70968901001309)	(98, 34.63117032642959)	(100, 34.59327782917052)
