Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
ACBarrie_R1	(23.0, 1.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 4.0)	(27.0, 6.0)	(28.0, 15.0)	(29.0, 22.0)	(30.0, 38.0)	(31.0, 73.0)	(32.0, 112.0)	(33.0, 154.0)	(34.0, 248.0)	(35.0, 443.0)	(36.0, 736.0)	(37.0, 1422.0)	(38.0, 1818.0)	(39.0, 683.0)	(40.0, 10.0)				
ACBarrie_R2	(24.0, 1.0)	(25.0, 8.0)	(26.0, 10.0)	(27.0, 10.0)	(28.0, 27.0)	(29.0, 42.0)	(30.0, 52.0)	(31.0, 79.0)	(32.0, 110.0)	(33.0, 165.0)	(34.0, 277.0)	(35.0, 397.0)	(36.0, 685.0)	(37.0, 1309.0)	(38.0, 1806.0)	(39.0, 799.0)	(40.0, 6.0)					
Alsen_R1	(26.0, 1.0)	(27.0, 6.0)	(28.0, 5.0)	(29.0, 15.0)	(30.0, 25.0)	(31.0, 49.0)	(32.0, 56.0)	(33.0, 91.0)	(34.0, 184.0)	(35.0, 327.0)	(36.0, 601.0)	(37.0, 1185.0)	(38.0, 1701.0)	(39.0, 593.0)	(40.0, 4.0)							
Alsen_R2	(20.0, 1.0)	(21.0, 0.0)	(22.0, 1.0)	(23.0, 0.0)	(24.0, 4.0)	(25.0, 3.0)	(26.0, 7.0)	(27.0, 11.0)	(28.0, 18.0)	(29.0, 20.0)	(30.0, 32.0)	(31.0, 59.0)	(32.0, 78.0)	(33.0, 121.0)	(34.0, 211.0)	(35.0, 320.0)	(36.0, 574.0)	(37.0, 1143.0)	(38.0, 1582.0)	(39.0, 662.0)	(40.0, 8.0)	
Baxter_R1	(24.0, 1.0)	(25.0, 1.0)	(26.0, 3.0)	(27.0, 14.0)	(28.0, 24.0)	(29.0, 37.0)	(30.0, 47.0)	(31.0, 107.0)	(32.0, 171.0)	(33.0, 244.0)	(34.0, 386.0)	(35.0, 724.0)	(36.0, 1338.0)	(37.0, 2398.0)	(38.0, 3518.0)	(39.0, 1277.0)	(40.0, 6.0)					
Baxter_R2	(24.0, 4.0)	(25.0, 6.0)	(26.0, 14.0)	(27.0, 28.0)	(28.0, 47.0)	(29.0, 56.0)	(30.0, 71.0)	(31.0, 124.0)	(32.0, 191.0)	(33.0, 307.0)	(34.0, 439.0)	(35.0, 771.0)	(36.0, 1345.0)	(37.0, 2333.0)	(38.0, 3283.0)	(39.0, 1271.0)	(40.0, 11.0)					
Chara_R1	(22.0, 1.0)	(23.0, 1.0)	(24.0, 2.0)	(25.0, 8.0)	(26.0, 21.0)	(27.0, 21.0)	(28.0, 40.0)	(29.0, 53.0)	(30.0, 84.0)	(31.0, 118.0)	(32.0, 171.0)	(33.0, 290.0)	(34.0, 427.0)	(35.0, 697.0)	(36.0, 1076.0)	(37.0, 2227.0)	(38.0, 3763.0)	(39.0, 1804.0)	(40.0, 30.0)			
Chara_R2	(19.0, 1.0)	(20.0, 1.0)	(21.0, 0.0)	(22.0, 1.0)	(23.0, 1.0)	(24.0, 4.0)	(25.0, 14.0)	(26.0, 22.0)	(27.0, 29.0)	(28.0, 45.0)	(29.0, 62.0)	(30.0, 100.0)	(31.0, 141.0)	(32.0, 179.0)	(33.0, 290.0)	(34.0, 413.0)	(35.0, 686.0)	(36.0, 1096.0)	(37.0, 2221.0)	(38.0, 3711.0)	(39.0, 1814.0)	(40.0, 5.0)
Drysdale_R1	(24.0, 1.0)	(25.0, 0.0)	(26.0, 5.0)	(27.0, 3.0)	(28.0, 9.0)	(29.0, 21.0)	(30.0, 40.0)	(31.0, 62.0)	(32.0, 86.0)	(33.0, 154.0)	(34.0, 232.0)	(35.0, 415.0)	(36.0, 817.0)	(37.0, 1592.0)	(38.0, 2843.0)	(39.0, 1447.0)	(40.0, 13.0)					
Drysdale_R2	(25.0, 2.0)	(26.0, 9.0)	(27.0, 23.0)	(28.0, 23.0)	(29.0, 36.0)	(30.0, 43.0)	(31.0, 69.0)	(32.0, 93.0)	(33.0, 160.0)	(34.0, 250.0)	(35.0, 442.0)	(36.0, 765.0)	(37.0, 1643.0)	(38.0, 2756.0)	(39.0, 1407.0)	(40.0, 17.0)						
