Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
ACBarrie_R1	(1.0, 14.900605012964563)	(2.0, 9.1961970613656)	(3.0, 11.927398444252377)	(4.0, 11.961970613656007)	(5.0, 10.717372515125325)	(6.0, 10.164217804667244)	(7.0, 6.776145203111496)	(8.0, 6.222990492653413)	(9.0, 5.289541918755402)	('>10', 12.843560933448575)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ACBarrie_R2	(1.0, 14.335120179837455)	(2.0, 8.715199723326993)	(3.0, 11.931523430745287)	(4.0, 12.035275808403943)	(5.0, 11.153380598305377)	(6.0, 10.375237765865467)	(7.0, 7.746844198512883)	(8.0, 5.395123638250043)	(9.0, 5.291371260591388)	('>10', 13.020923396161162)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Alsen_R1	(1.0, 71.8149907082387)	(2.0, 12.967169110055751)	(3.0, 8.30064009911212)	(4.0, 3.7992979558125124)	(5.0, 2.0648358455502787)	(6.0, 0.6194507536650836)	(7.0, 0.43361552756555855)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Alsen_R2	(1.0, 72.5437693099897)	(2.0, 13.14109165808445)	(3.0, 8.218331616889804)	(4.0, 3.213182286302781)	(5.0, 1.7507723995880538)	(6.0, 0.9886714727085478)	(7.0, 0.14418125643666324)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Baxter_R1	(1.0, 67.56993006993007)	(2.0, 13.578088578088579)	(3.0, 5.681818181818182)	(4.0, 3.807303807303807)	(5.0, 2.088189588189588)	(6.0, 2.097902097902098)	(7.0, 1.2917637917637919)	(8.0, 1.320901320901321)	(9.0, 0.6993006993006993)	('>10', 1.8648018648018647)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Baxter_R2	(1.0, 68.11960003883118)	(2.0, 13.066692554120959)	(3.0, 4.892728861275604)	(4.0, 3.650131055237356)	(5.0, 2.621104747111931)	(6.0, 2.3881176584797594)	(7.0, 1.223182215318901)	(8.0, 1.4755848946704204)	(9.0, 0.6115911076594505)	('>10', 1.9512668672944373)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Chara_R1	(1.0, 37.751522983201035)	(2.0, 27.838286874653868)	(3.0, 16.47590917482001)	(4.0, 10.41166697434004)	(5.0, 5.122761676204541)	(6.0, 1.827579841240539)	(7.0, 0.2584456341148237)	(8.0, 0.22152482924127745)	(9.0, 0.0)	('>10', 0.0923020121838656)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Chara_R2	(1.0, 34.403839055001846)	(2.0, 28.42377260981912)	(3.0, 18.35548172757475)	(4.0, 10.077519379844961)	(5.0, 5.813953488372093)	(6.0, 2.3255813953488373)	(7.0, 0.2583979328165375)	(8.0, 0.07382798080472498)	(9.0, 0.16611295681063123)	('>10', 0.10151347360649685)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Drysdale_R1	(1.0, 90.11627906976744)	(2.0, 9.276485788113694)	(3.0, 0.5038759689922481)	(4.0, 0.10335917312661498)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Drysdale_R2	(1.0, 90.3980356681313)	(2.0, 9.123804600672008)	(3.0, 0.42646678728353576)	(4.0, 0.051692943913155855)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
