Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
ACBarrie_R1	(50, 5.0)	(52, 9.0)	(54, 8.0)	(56, 5.0)	(58, 10.0)	(60, 133.0)	(62, 78.0)	(64, 108.0)	(66, 115.0)	(68, 115.0)	(70, 114.0)	(72, 89.0)	(74, 130.0)	(76, 66.0)	(78, 74.0)	(80, 65.0)	(82, 77.0)	(84, 88.0)	(86, 88.0)	(88, 99.0)	(90, 115.0)	(92, 116.0)	(94, 107.0)	(96, 97.0)	(98, 126.0)	(100, 3748.0)																							
ACBarrie_R2	(50, 14.0)	(52, 8.0)	(54, 19.0)	(56, 13.0)	(58, 12.0)	(60, 123.0)	(62, 83.0)	(64, 84.0)	(66, 60.0)	(68, 94.0)	(70, 76.0)	(72, 71.0)	(74, 63.0)	(76, 80.0)	(78, 87.0)	(80, 64.0)	(82, 69.0)	(84, 78.0)	(86, 71.0)	(88, 77.0)	(90, 101.0)	(92, 84.0)	(94, 90.0)	(96, 95.0)	(98, 116.0)	(100, 4051.0)																							
Alsen_R1	(50, 3.0)	(52, 3.0)	(54, 10.0)	(56, 3.0)	(58, 8.0)	(60, 84.0)	(62, 70.0)	(64, 74.0)	(66, 54.0)	(68, 53.0)	(70, 44.0)	(72, 51.0)	(74, 61.0)	(76, 49.0)	(78, 29.0)	(80, 30.0)	(82, 41.0)	(84, 42.0)	(86, 29.0)	(88, 38.0)	(90, 54.0)	(92, 46.0)	(94, 55.0)	(96, 45.0)	(98, 50.0)	(100, 3817.0)																							
Alsen_R2	(50, 6.0)	(52, 10.0)	(54, 8.0)	(56, 12.0)	(58, 10.0)	(60, 71.0)	(62, 39.0)	(64, 50.0)	(66, 33.0)	(68, 35.0)	(70, 36.0)	(72, 40.0)	(74, 51.0)	(76, 41.0)	(78, 30.0)	(80, 40.0)	(82, 42.0)	(84, 46.0)	(86, 47.0)	(88, 46.0)	(90, 42.0)	(92, 52.0)	(94, 40.0)	(96, 33.0)	(98, 39.0)	(100, 3956.0)																							
Baxter_R1	(50, 6.0)	(52, 8.0)	(54, 11.0)	(56, 11.0)	(58, 12.0)	(60, 167.0)	(62, 103.0)	(64, 100.0)	(66, 103.0)	(68, 106.0)	(70, 111.0)	(72, 109.0)	(74, 113.0)	(76, 79.0)	(78, 67.0)	(80, 67.0)	(82, 72.0)	(84, 62.0)	(86, 82.0)	(88, 110.0)	(90, 80.0)	(92, 81.0)	(94, 94.0)	(96, 100.0)	(98, 93.0)	(100, 8349.0)																							
Baxter_R2	(50, 10.0)	(52, 18.0)	(54, 14.0)	(56, 24.0)	(58, 21.0)	(60, 141.0)	(62, 110.0)	(64, 105.0)	(66, 92.0)	(68, 86.0)	(70, 91.0)	(72, 105.0)	(74, 110.0)	(76, 93.0)	(78, 90.0)	(80, 75.0)	(82, 80.0)	(84, 122.0)	(86, 98.0)	(88, 106.0)	(90, 99.0)	(92, 112.0)	(94, 114.0)	(96, 101.0)	(98, 87.0)	(100, 8197.0)																							
Chara_R1	(50, 9.0)	(52, 18.0)	(54, 12.0)	(56, 13.0)	(58, 23.0)	(60, 210.0)	(62, 142.0)	(64, 139.0)	(66, 111.0)	(68, 119.0)	(70, 93.0)	(72, 124.0)	(74, 133.0)	(76, 97.0)	(78, 104.0)	(80, 306.0)	(82, 90.0)	(84, 71.0)	(86, 106.0)	(88, 89.0)	(90, 137.0)	(92, 138.0)	(94, 127.0)	(96, 126.0)	(98, 299.0)	(100, 7998.0)																							
Chara_R2	(50, 25.0)	(52, 26.0)	(54, 30.0)	(56, 32.0)	(58, 29.0)	(60, 181.0)	(62, 136.0)	(64, 122.0)	(66, 103.0)	(68, 112.0)	(70, 104.0)	(72, 90.0)	(74, 77.0)	(76, 83.0)	(78, 84.0)	(80, 63.0)	(82, 92.0)	(84, 89.0)	(86, 93.0)	(88, 99.0)	(90, 106.0)	(92, 113.0)	(94, 138.0)	(96, 123.0)	(98, 99.0)	(100, 8587.0)																							
Drysdale_R1	(52, 3.0)	(53, 2.0)	(54, 3.0)	(55, 6.0)	(56, 4.0)	(57, 2.0)	(58, 4.0)	(59, 3.0)	(60, 63.0)	(61, 46.0)	(62, 40.0)	(63, 43.0)	(64, 38.0)	(65, 38.0)	(66, 31.0)	(67, 28.0)	(68, 27.0)	(69, 23.0)	(70, 24.0)	(71, 26.0)	(72, 19.0)	(73, 27.0)	(74, 29.0)	(75, 39.0)	(76, 30.0)	(77, 16.0)	(78, 14.0)	(79, 28.0)	(80, 18.0)	(81, 35.0)	(82, 34.0)	(83, 24.0)	(84, 27.0)	(85, 27.0)	(86, 25.0)	(87, 25.0)	(88, 33.0)	(89, 26.0)	(90, 36.0)	(91, 33.0)	(92, 31.0)	(93, 36.0)	(94, 35.0)	(95, 33.0)	(96, 27.0)	(97, 30.0)	(98, 45.0)	(99, 35.0)	(100, 6469.0)
Drysdale_R2	(50, 10.0)	(52, 12.0)	(54, 14.0)	(56, 15.0)	(58, 14.0)	(60, 97.0)	(62, 91.0)	(64, 89.0)	(66, 63.0)	(68, 60.0)	(70, 53.0)	(72, 42.0)	(74, 50.0)	(76, 36.0)	(78, 33.0)	(80, 60.0)	(82, 41.0)	(84, 63.0)	(86, 55.0)	(88, 44.0)	(90, 69.0)	(92, 60.0)	(94, 65.0)	(96, 60.0)	(98, 56.0)	(100, 6486.0)																							
