Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
ACBarrie_R1	66.25756266205704	38.0	92.92350907519447	100	18.181818181818183	0.005784999999999999
ACBarrie_R2	66.88569946394605	38.0	94.02550579284109	100	18.181818181818183	0.005783
Alsen_R1	17.40656617798885	41.0	95.54934957670865	100	9.090909090909092	0.004843
Alsen_R2	16.807415036045313	40.0	96.29443872296602	100	9.090909090909092	0.004855
Baxter_R1	21.435508935508935	40.0	96.16336441336442	100	0.0	0.010296
Baxter_R2	21.279487428405005	40.0	95.95170371808562	100	0.0	0.010301
Chara_R1	38.83145652575226	39.0	94.97221709433266	100	9.090909090909092	0.010834
Chara_R2	41.12218530823182	39.0	95.68420081210779	100	9.090909090909092	0.010836
Drysdale_R1	5.05167958656331	40.0	96.45749354005169	100	0.0	0.0077399999999999995
Drysdale_R2	4.884983199793226	40.0	96.70263634013958	100	0.0	0.007737999999999999
